Id,Designator,Footprint,Quantity,Designation,Supplier and ref,
53,R23,R_0805_2012Metric,1,6K8,667-ERA-6AED682V,https://www.mouser.co.za/ProductDetail/Panasonic/ERA-6AED682V?qs=MNPzkKEzRtSOnTv2T8P5Xw%3D%3D
54,"R24,R4,R5",R_0805_2012Metric,3,0 Ohm,594-MCU0805MZ0000ZP5 ,https://www.mouser.co.za/ProductDetail/Vishay-Beyschlag/MCU0805MZ0000ZP500?qs=W0yvOO0ixfGkgjlHiiSC7A%3D%3D
55,R25,R_0805_2012Metric,1,499,603-RT0805FRD07499RL ,https://www.mouser.co.za/ProductDetail/YAGEO/RT0805FRD07499RL?qs=k2KEx2DUIRQtcZ0PJGgLRw%3D%3D
56,"R26,R14,R39,R13",R_0805_2012Metric,4,220,667-ERA-6AEB221V,https://www.mouser.co.za/ProductDetail/Panasonic/ERA-6AEB221V?qs=1VWA5LkbEaoReXXdTz505g%3D%3D
57,"R3,R6",R_0805_2012Metric,2,5K1,754-RR1220P-512D,https://www.mouser.co.za/ProductDetail/Susumu/RR1220P-512-D?qs=U7dmUkNviFvBDekrzeB9Dw%3D%3D
58,"R31,R43",R_0805_2012Metric,2,499K,667-ERA-6AEB4993V,https://www.mouser.co.za/ProductDetail/Panasonic/ERA-6AEB4993V?qs=nuXzIS8loXHhUZMt%252BA%252BKHA%3D%3D
59,R32,R_0805_2012Metric,1,36K,603-RT0805FRE0736KL,https://www.mouser.co.za/ProductDetail/YAGEO/RT0805FRE0736KL?qs=4CyHz7GXqSjO0%2F5giFIsGA%3D%3D
60,R33,R_0805_2012Metric,1,5K23,667-ERA-6AEB5231V,https://www.mouser.co.za/ProductDetail/Panasonic/ERA-6AEB5231V?qs=nuXzIS8loXGCwpaD9zRw7Q%3D%3D
61,R34,R_0805_2012Metric,1,30K1,603-RT0805DRE0730K1L,https://www.mouser.co.za/ProductDetail/YAGEO/RT0805DRE0730K1L?qs=4CyHz7GXqSh1c76uzoBftg%3D%3D
62,R36,R_0805_2012Metric,1,10,603-RT0805FRE1310RL,https://www.mouser.co.za/ProductDetail/YAGEO/RT0805FRE1310RL?qs=1mbolxNpo8cxANW8i7GXPg%3D%3D
63,R41,R_0805_2012Metric,1,2.2,71-TNPW08052R20DEEA,https://www.mouser.co.za/ProductDetail/Vishay/TNPW08052R20DEEA?qs=vHuUswq2%252Bsy8CzTFRktK%252BQ%3D%3D
